1013;932;807
1013;932;811
1006;925;810
990;911;804
969;891;794
941;865;778
908;835;759
870;800;736
828;762;710
784;721;681
736;677;650
688;633;617
639;587;584
590;542;550
541;498;516
493;454;483
448;412;451
405;372;421
365;335;393
329;302;367
296;272;344
268;247;325
246;226;309
228;210;296
217;200;288
211;194;282
211;194;280
218;200;282
229;211;286
246;226;294
268;247;304
293;269;316
322;296;330
353;324;345
386;355;361
419;385;377
451;414;394
481;442;410
509;468;425
535;492;439
555;511;452
572;526;463
584;537;473
592;544;480
595;547;486
593;545;490
588;540;492
579;532;493
567;521;493
553;509;491
538;495;488
524;482;485
510;469;482
496;456;479
485;446;477
476;437;475
470;432;474
466;429;475
468;430;477
471;433;481
478;440;486
488;448;493
501;461;502
517;475;512
535;492;524
555;511;537
577;530;551
600;552;566
624;574;581
649;597;597
673;619;613
698;642;628
721;663;642
744;684;655
765;703;666
784;721;675
800;736;681
813;747;685
822;756;686
827;760;684
826;760;678
821;755;668
810;745;656
793;729;639
770;708;619
741;681;596
705;649;570
666;612;541
619;569;510
569;523;477
516;475;443
460;423;409
403;370;374
346;318;340
290;266;307
237;218;276
187;172;247
143;131;222
104;96;200
73;67;182
49;45;168
34;31;159
28;25;156
30;28;157
41;38;164
60;55;176
88;80;192
122;112;213
164;150;239
211;194;269
262;241;302
317;292;338
376;345;376
436;401;417
497;457;458
557;512;499
616;567;540
674;620;581
729;671;619
782;719;656
829;763;690
873;803;720
911;838;747
944;868;769
970;892;787
989;910;800
1002;922;808
1008;927;811
1006;925;809
997;917;803
979;901;791
955;879;775
924;850;755
887;816;731
843;776;704
795;731;674
743;684;642
688;632;608
632;581;573
574;528;539
518;476;504
463;426;471
412;379;438
365;335;408
322;296;381
287;264;356
258;237;335
234;215;317
219;201;302
210;193;292
209;192;285
213;196;281
223;205;281
238;219;285
258;237;291
280;258;300
306;281;310
333;306;323
360;331;337
388;356;352
415;382;368
440;405;384
464;427;399
486;447;415
505;465;429
522;480;442
536;493;454
548;504;464
557;512;473
564;518;480
568;522;485
570;524;489
569;523;491
567;521;492
563;517;492
557;512;491
549;505;489
541;498;486
532;489;484
522;480;481
512;471;479
502;462;478
493;454;477
486;447;477
481;442;479
478;439;483
478;439;488
481;442;495
488;449;503
499;459;513
513;472;525
533;490;538
555;510;553
581;534;568
609;560;584
640;588;601
672;618;617
704;647;633
736;677;647
765;703;660
792;729;671
815;750;680
834;767;686
847;779;689
853;785;689
854;785;685
846;778;677
833;766;666
813;747;651
785;722;633
752;692;611
714;656;586
671;617;558
623;573;528
573;527;496
521;479;463
469;431;429
416;383;394
365;335;360
314;289;327
267;245;296
223;205;266
183;168;239
147;135;215
117;108;195
92;85;179
74;68;168
61;56;161
55;50;158
56;51;161
64;59;169
